DeadHuman:PhysCond:Corpse;DeadHuman:PhysCond:Fragments;DeadHuman:Age:0-1;DeadHuman:Age:1-14;DeadHuman:Age:14-60;DeadHuman:Age:60+;DeadHuman:HealthState:HopelesslySick/HardlySick;DeadHuman:BodyMark:Wounded;DeadHuman:BodyMark:MechanicalDamage;DeadHuman:BodyMark:Suffocated;DeadHuman:BodyMark:Drowned;DeadHuman:BodyMark:Poisoned;DeadHuman:BodyMark:Burned;DeadHuman:BodyMark:Supercooled;DeadHuman:BodyMark:FoodWaterDeprivated;DeadHuman:BodyMark:Droped;DeadHuman:BodyMark:LackOfOrgans;DeadHuman:BodyMark:HardInjury;DeadHuman:BodyMark:Disfigured;DeadHuman:SocialSt:SelfLegalServiceActivities/SelfPublicDuty/RelLegalServiceActivities/RelPublicDuty;DeadHuman:PsState:MentalDisorder;DeadHuman:Pregnant;DeadHuman:MaterialCond:ExpensiveProperty;DeadHuman:MaterialCond:MaterialIndependOnSubj;AliveHuman:Age:0-1;AliveHuman:Age:1-14;AliveHuman:14-18;AliveHuman:Age:18-60;AliveHuman:Age:60+;AliveHuman:PsState:MentalDisorder;AliveHuman:PsState:Intimidated;AliveHuman:BodyMark:LackOfOrgans;AliveHuman:BodyMark:Disfigured;AliveHuman:SocialSt:SelfLegalServiceActivities/SelfPublicDuty/RelLegalServiceActivities/RelPublicDuty;AliveHuman:Relation:LiveWithSubj;AliveHuman:MAterialCond:ExpensiveProperty;AliveHuman:MAterialCond:MaterialDependOnSubj;AliveHuman:PhysCond:HardInjury;AliveHuman:PhysCond:ProtractedDiseaseDisability<30%;AliveHuman:PhysCond:ProtractedDiseaseDisability<10%;AliveHuman:PhysCond:NormalAnatItegrityWithScrapes/WithPhysPain/WithMentalPain;AliveHuman:PhysCond:VenerealDisease;AliveHuman:PhysCond:HIVInfection;AliveHuman:PhysCond:HardlySick;AliveHuman:PhysCond:PhysHelplessness/MentalHelplessness;AliveHuman:Pregnant;Circumstances:CrimeInstr:Knife/Axe/Cleaver;Circumstances:CrimeInstr:Stick/Stone/Glass/Shovel/Hayfork;Circumstances:CrimeInstr:FireArm;Circumstances:CrimeCircumstances:Kidnap;Circumstances:CrimeCircumstances:PreventedKidnapping;Circumstances:CrimeCircumstances:ReleaseHostage;Circumstances:CrimeCircumstances:Sleep/Faint/Intoxication;Circumstances:CrimeCircumstances:Torture;Circumstances:CrimeCircumstances:Jeer;Circumstances:CrimeCircumstances:PresinceOfRelatives/Children;Circumstances:CrimeCircumstances:HinderFirstAid;Circumstances:CrimeCircumstances:PropertyDeal;Circumstances:CrimeCircumstances:DuringRape;Circumstances:CrimeCircumstances:DuringChildbirth;Circumstances:CrimeCircumstances:Arrest/TryToHide/OfferRessistanceToMilitiamen;Circumstances:CrimeCircumstances:Suicude;Circumstances:CrimeCircumstances:ForcedToIllegalActions;Circumstances:CrimeCircumstances:SociallyDangerousAct;Circumstances:CrimeCircumstances:ForciblyTakenToHospital/FraudulentlyTAkenToHospital;Circumstances:CrimeCircumstances:Intercourse/Kisses;Circumstances:CrimeCircumstances:UseSubjSuringe;Circumstances:CrimeCircumstances:VisitMedicalCenter;Circumstances:CrimeCircumstances:BloodTrunsfusion;Circumstances:CrimeCircumstances:Abort;Circumstances:CrimeCircumstances:AskForFirstAid;Circumstances:CrimeCircumstances:DangerousState;Circumstances:CrimeMethod:Explosion/Arson/FoodWaterPoisoned/AffectOtherPeople/ShotsInCrowdedPlaces;Circumstances:CrimeMethod:UseAcid;Circumstances:CrimeMethod:DripAlive;Circumstances:CrimeMethod:Blackmail;Circumstances:CrimeMethod:MurderThreaten;Circumstances:CrimeMethod:TransplantationThreaten;Circumstances:CrimeMethod:FailureToProvideFirstAid;Circumstances:CrimeMethod:FailureToAssist;Circumstances:Quantity:Systematically;Class
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
